
TIME	BBE	OBJ

0	1	409.067422156616
0	30	313.290666411087
0	33	309.645062177308
0	61	305.603554188662
0	73	274.349745457906
1	99	272.250128417616
1	103	268.037284648273
1	162	262.043368378846
1	163	260.97381694916
1	186	256.09850445141
1	221	256.020492150343
1	233	254.953534545783
1	267	254.8720087317
1	270	254.656322775826
1	305	254.543645584072
2	330	254.400682410755
2	389	254.388049251401
2	391	254.353067924927
2	405	254.242240065196
2	410	254.176238806978
2	415	254.152120602604
2	429	254.149410983437
2	431	253.918898261246
2	441	253.639818573328
2	443	253.55474416257
2	457	251.141461891318
2	491	250.248064868682
2	524	250.244171560004
2	527	249.849164247345
2	547	249.567222954085
2	548	249.366239271189
3	580	249.155498293568
3	589	249.047280135277
3	591	248.252066657473
3	595	246.518827325057
3	617	245.800965359953
3	620	243.882335163937
3	628	242.422501962147
3	634	242.276927272015
3	671	241.954108810511
3	675	241.010585095445
3	682	240.459307984963
3	710	238.836934740093
3	712	236.774345707808
3	742	234.62986725466
3	759	233.935408736368
3	761	231.87366973145
3	763	229.965932283635
3	767	219.750264964398
3	789	218.765266185861
3	807	218.764685351186
4	815	216.792767347362
4	849	216.495270200364
4	851	216.10267122674
4	863	213.554832966872
4	910	211.268885538006
4	913	209.197077094276
4	935	208.431462438035
4	946	206.720752330144
4	992	206.548275350849
4	1013	206.178168852652
4	1014	206.072252871052
4	1015	205.053416198016
4	1021	204.42785503742
4	1023	202.520104744871
4	1026	195.391180273313
4	1029	177.49001293616
4	1039	160.826983870132
5	1062	160.272301645993
5	1072	132.497730491384
5	1095	132.211409945968
5	1125	115.126136735852
5	1142	103.410900663377
5	1146	85.2425026449348
5	1199	83.74223201807099
5	1204	83.598074475476
5	1230	71.84331120065551
5	1237	70.29089492791761
5	1260	66.3415584718624
6	1309	65.7246434832216
6	1313	60.1426677896144
6	1350	58.9447055060385
6	1351	55.614847308125
6	1360	53.0178794687419
6	1388	48.3232738347114
6	1422	47.6627115940218
6	1432	42.8248958769611
6	1443	37.0265396215478
6	1465	36.6923042836351
6	1467	35.8124722457898
7	1515	34.8258600812852
7	1543	34.2676414158401
7	1562	34.0364811732794
7	1563	33.3484189173833
7	1586	33.0532004059883
7	1658	33.0035616836186
7	1664	32.9776044737094
7	1666	32.9093509482159
8	1747	32.9056660232471
8	1750	32.9049205755534
8	1765	32.9003950798501
8	1783	32.8983814142292
8	1784	32.8884427141221
8	1788	32.8680789470553
8	1817	32.8557333071788
8	1819	32.8409646841575
8	1820	32.8187524114084
8	1823	32.7593360339631
8	1883	32.7588840107007
8	1885	32.7575288245444
8	1888	32.7521213326056
8	1937	32.7512802945923
8	1943	32.7503235466136
8	1987	32.7498744681357
8	1989	32.748528115889
8	2000	32.7481266130554
9	2001	32.7481266130554

evaluations           : 2001
multiple evaluations  : 0
cache hits            : 386
cache search points   : 230
best feasible solution: x=( 5.176711478052312 3.06427162795444 9.47699431007095 ) F(x)=[ 32.7481266130554 ] h=0 f=32.7481266130554
